id,y_true,blend_pred,meta_pred,meta_conf,lin_pred,stk_pred,enc_pred
sess_au_050092_004-step_04,edit_file,edit_file,respond_only,0.36160616696192555,edit_file,edit_file,edit_file
sess_sim_20260522_027895-step_06,run_bash,lint_or_typecheck,lint_or_typecheck,0.28245782401528857,run_bash,lint_or_typecheck,lint_or_typecheck
sess_sim_20260522_010306-step_10,apply_patch,apply_patch,apply_patch,0.47847039888583753,apply_patch,apply_patch,apply_patch
sess_sim_20260522_023744-step_08,respond_only,respond_only,respond_only,0.9740669404151165,respond_only,respond_only,respond_only
sess_sim_20260522_033776-step_09,respond_only,respond_only,respond_only,0.9813419583923745,respond_only,respond_only,respond_only
sess_sim_20260522_036847-step_04,apply_patch,apply_patch,write_file,0.3740547991726423,apply_patch,apply_patch,apply_patch
sess_sim_20260522_030698-step_17,plan_task,ask_user,plan_task,0.22492804087747706,plan_task,ask_user,ask_user
sess_sim_20260522_007592-step_06,plan_task,plan_task,ask_user,0.18142127922651347,plan_task,plan_task,plan_task
sess_sim_20260522_029653-step_01,list_directory,list_directory,list_directory,0.4687443126694042,list_directory,list_directory,list_directory
sess_sim_20260522_014003-step_03,edit_file,edit_file,ask_user,0.22504867177038396,edit_file,edit_file,edit_file
sess_sim_20260522_036951-step_04,edit_file,edit_file,edit_file,0.4620805361099604,edit_file,edit_file,edit_file
sess_sim_20260522_001193-step_01,glob_pattern,list_directory,list_directory,0.4605253260784441,list_directory,list_directory,list_directory
sess_sim_20260522_018917-step_05,grep_search,grep_search,glob_pattern,0.17705685312896025,grep_search,grep_search,grep_search
sess_sim_20260522_029625-step_06,apply_patch,apply_patch,apply_patch,0.5712935196097282,apply_patch,apply_patch,apply_patch
sess_sim_20260522_031432-step_09,edit_file,edit_file,apply_patch,0.2804584790784568,edit_file,edit_file,edit_file
sess_sim_20260522_008742-step_02,edit_file,edit_file,edit_file,0.3560179821639648,edit_file,edit_file,edit_file
sess_sim_20260522_005269-step_02,list_directory,list_directory,list_directory,0.3711164941496726,list_directory,list_directory,list_directory
sess_sim_20260522_006458-step_03,ask_user,ask_user,plan_task,0.19543452034126377,ask_user,ask_user,ask_user
sess_sim_20260522_038430-step_05,grep_search,list_directory,read_file,0.40214764156622684,list_directory,read_file,read_file
sess_sim_20260522_038274-step_08,run_tests,run_bash,web_search,0.22265388883916287,apply_patch,lint_or_typecheck,run_bash
sess_sim_20260522_029054-step_01,grep_search,list_directory,list_directory,0.448813148885331,read_file,list_directory,list_directory
sess_sim_20260522_004126-step_05,edit_file,edit_file,edit_file,0.23725360750661342,edit_file,apply_patch,edit_file
sess_sim_20260522_034573-step_03,run_bash,run_bash,run_bash,0.25023841477215253,run_bash,run_bash,run_bash
sess_sim_20260522_045827-step_04,apply_patch,apply_patch,edit_file,0.34077760697601633,apply_patch,apply_patch,apply_patch
sess_sim_20260522_025148-step_10,edit_file,edit_file,edit_file,0.30799243336231524,edit_file,edit_file,edit_file
sess_sim_20260522_046837-step_02,glob_pattern,grep_search,list_directory,0.5779224462042741,read_file,grep_search,grep_search
sess_sim_20260522_042447-step_01,write_file,write_file,write_file,0.935807784652569,write_file,write_file,write_file
sess_sim_20260522_019879-step_02,edit_file,edit_file,write_file,0.5772308854031516,edit_file,edit_file,edit_file
sess_sim_20260522_017234-step_03,apply_patch,apply_patch,edit_file,0.462647699935742,apply_patch,apply_patch,apply_patch
sess_sim_20260522_004882-step_06,run_bash,run_bash,run_tests,0.19391924630192103,run_bash,run_bash,run_bash
sess_sim_20260522_008342-step_02,grep_search,read_file,list_directory,0.37698419690967133,read_file,read_file,read_file
sess_sim_20260522_040525-step_03,read_file,read_file,run_bash,0.1935808583124847,read_file,read_file,read_file
sess_sim_20260522_036363-step_10,apply_patch,apply_patch,apply_patch,0.7097955906310471,apply_patch,apply_patch,apply_patch
sess_au_815508_003-step_05,lint_or_typecheck,lint_or_typecheck,run_tests,0.17239205714761907,lint_or_typecheck,lint_or_typecheck,lint_or_typecheck
sess_sim_20260522_022621-step_07,run_bash,run_bash,lint_or_typecheck,0.2276810289226337,run_bash,run_bash,run_bash
sess_sim_20260522_036391-step_10,respond_only,respond_only,respond_only,0.9624082682093649,respond_only,respond_only,respond_only
sess_sim_20260522_014581-step_06,run_tests,run_tests,run_tests,0.21220098298613527,run_tests,run_tests,run_tests
sess_sim_20260522_022605-step_06,ask_user,ask_user,web_search,0.2002126711083449,ask_user,ask_user,ask_user
sess_sim_20260522_026445-step_08,glob_pattern,glob_pattern,glob_pattern,0.25821158353216145,glob_pattern,glob_pattern,glob_pattern
sess_sim_20260522_027249-step_03,write_file,write_file,write_file,0.7276709694975886,write_file,write_file,write_file
sess_sim_20260522_031147-step_06,edit_file,edit_file,apply_patch,0.3429640589042,edit_file,edit_file,edit_file
sess_sim_20260522_013112-step_03,edit_file,edit_file,edit_file,0.4848103001453597,edit_file,edit_file,edit_file
sess_sim_20260522_043903-step_10,glob_pattern,glob_pattern,glob_pattern,0.25848372656468166,glob_pattern,glob_pattern,glob_pattern
sess_sim_20260522_036352-step_03,list_directory,list_directory,list_directory,0.3357596476914655,list_directory,list_directory,list_directory
sess_sim_20260522_017677-step_05,read_file,read_file,glob_pattern,0.3109378450628188,read_file,read_file,read_file
sess_sim_20260522_019273-step_05,edit_file,edit_file,edit_file,0.5021728786172673,edit_file,edit_file,edit_file
sess_sim_20260522_043264-step_08,run_tests,lint_or_typecheck,web_search,0.3627221928799114,lint_or_typecheck,lint_or_typecheck,lint_or_typecheck
sess_sim_20260522_002257-step_04,apply_patch,apply_patch,edit_file,0.41658735346661313,apply_patch,apply_patch,apply_patch
sess_sim_20260522_001083-step_05,run_tests,run_tests,run_tests,0.1792958670467933,run_tests,run_tests,run_tests
sess_sim_20260522_024798-step_01,run_bash,run_bash,run_bash,0.2960238043694348,run_bash,run_bash,run_bash
sess_sim_20260522_042345-step_10,edit_file,apply_patch,apply_patch,0.27185693773483316,edit_file,apply_patch,apply_patch
sess_sim_20260522_015957-step_14,respond_only,respond_only,respond_only,0.9835536091913847,respond_only,respond_only,respond_only
sess_sim_20260522_037073-step_01,plan_task,ask_user,plan_task,0.1965667503405492,list_directory,plan_task,ask_user
sess_au_860213_003-step_04,edit_file,edit_file,edit_file,0.5113394742086991,apply_patch,apply_patch,edit_file
sess_sim_20260522_006403-step_04,grep_search,read_file,read_file,0.2743206682209347,read_file,read_file,read_file
sess_sim_20260522_041970-step_03,ask_user,ask_user,run_bash,0.17139508659946873,ask_user,ask_user,ask_user
sess_au_950602_002-step_10,edit_file,apply_patch,apply_patch,0.5247382180074986,apply_patch,apply_patch,apply_patch
sess_au_577567_009-step_01,grep_search,list_directory,list_directory,0.4083613471485076,read_file,read_file,list_directory
sess_sim_20260522_003823-step_06,edit_file,edit_file,edit_file,0.41948903148285055,edit_file,edit_file,edit_file
sess_sim_20260522_012713-step_06,grep_search,grep_search,web_search,0.19407251518951557,grep_search,grep_search,glob_pattern
sess_sim_20260522_024922-step_04,run_tests,run_tests,ask_user,0.21202014960671803,run_tests,run_tests,run_tests
sess_sim_20260522_000194-step_09,lint_or_typecheck,lint_or_typecheck,lint_or_typecheck,0.45787285635231717,run_tests,lint_or_typecheck,lint_or_typecheck
sess_sim_20260522_024976-step_14,apply_patch,apply_patch,apply_patch,0.4439896900773341,apply_patch,apply_patch,apply_patch
sess_sim_20260522_007199-step_01,glob_pattern,list_directory,list_directory,0.46336357117142507,list_directory,list_directory,list_directory
sess_sim_20260522_019683-step_10,glob_pattern,glob_pattern,glob_pattern,0.3012742493081233,glob_pattern,glob_pattern,glob_pattern
sess_sim_20260522_022987-step_02,respond_only,respond_only,respond_only,0.6850347885817611,respond_only,respond_only,respond_only
sess_sim_20260522_019402-step_07,edit_file,edit_file,apply_patch,0.5290388540142084,edit_file,edit_file,edit_file
sess_sim_20260522_001725-step_08,read_file,grep_search,web_search,0.27858435473196713,grep_search,grep_search,grep_search
sess_au_309906_000-step_02,read_file,read_file,list_directory,0.4753014176962852,read_file,read_file,read_file
sess_sim_20260522_044033-step_02,edit_file,edit_file,write_file,0.43487090518414834,edit_file,edit_file,edit_file
sess_sim_20260522_037513-step_01,list_directory,list_directory,list_directory,0.479548120121508,list_directory,list_directory,list_directory
sess_sim_20260522_011123-step_11,run_tests,run_bash,lint_or_typecheck,0.29541492786377155,run_bash,run_tests,run_bash
sess_sim_20260522_006215-step_06,apply_patch,apply_patch,apply_patch,0.4093108055938193,apply_patch,apply_patch,apply_patch
sess_sim_20260522_019402-step_08,run_tests,run_tests,run_tests,0.2649573037135228,run_tests,run_tests,run_tests
sess_sim_20260522_010842-step_07,run_tests,lint_or_typecheck,grep_search,0.4147425620454314,lint_or_typecheck,lint_or_typecheck,lint_or_typecheck
sess_sim_20260522_017381-step_09,edit_file,apply_patch,apply_patch,0.6174733788177027,apply_patch,apply_patch,apply_patch
sess_sim_20260522_035574-step_04,glob_pattern,glob_pattern,glob_pattern,0.2395836336913293,glob_pattern,glob_pattern,glob_pattern
sess_au_968689_014-step_03,respond_only,respond_only,respond_only,0.7158347023009477,respond_only,respond_only,respond_only
sess_sim_20260522_029624-step_04,grep_search,read_file,glob_pattern,0.24587333580878057,read_file,read_file,read_file
sess_sim_20260522_021517-step_05,grep_search,grep_search,glob_pattern,0.2681393478858174,grep_search,grep_search,grep_search
sess_sim_20260522_023897-step_03,grep_search,read_file,list_directory,0.3496091286675754,read_file,read_file,read_file
sess_sim_20260522_023554-step_04,list_directory,read_file,read_file,0.3692692774225985,run_tests,run_tests,read_file
sess_sim_20260522_038170-step_03,run_tests,run_tests,ask_user,0.21479231733353887,run_tests,run_tests,run_tests
sess_sim_20260522_030052-step_05,grep_search,grep_search,run_bash,0.16999613238732486,grep_search,grep_search,grep_search
sess_sim_20260522_008362-step_12,run_tests,lint_or_typecheck,run_tests,0.23083039309514547,lint_or_typecheck,lint_or_typecheck,lint_or_typecheck
sess_sim_20260522_012741-step_04,respond_only,respond_only,respond_only,0.9981339722749368,respond_only,respond_only,respond_only
sess_sim_20260522_039846-step_09,edit_file,edit_file,edit_file,0.4717570671313074,edit_file,edit_file,apply_patch
sess_sim_20260522_036309-step_01,lint_or_typecheck,run_bash,run_bash,0.25397990199958137,run_bash,run_bash,run_bash
sess_sim_20260522_017776-step_02,glob_pattern,grep_search,list_directory,0.31722736261108736,list_directory,grep_search,list_directory
sess_sim_20260522_027890-step_03,edit_file,edit_file,write_file,0.6599675511324113,edit_file,edit_file,edit_file
sess_sim_20260522_016544-step_13,glob_pattern,glob_pattern,glob_pattern,0.41653801703749455,glob_pattern,glob_pattern,glob_pattern
sess_sim_20260522_041756-step_04,read_file,read_file,web_search,0.5736458083051826,edit_file,edit_file,read_file
sess_sim_20260522_004721-step_05,read_file,read_file,run_tests,0.17464766878745608,read_file,read_file,read_file
sess_sim_20260522_005528-step_06,ask_user,web_search,ask_user,0.136231651744838,ask_user,web_search,web_search
sess_sim_20260522_014543-step_01,list_directory,list_directory,list_directory,0.46968339094857686,list_directory,list_directory,list_directory
sess_sim_20260522_000640-step_05,grep_search,grep_search,grep_search,0.31587159053796166,grep_search,grep_search,grep_search
sess_sim_20260522_005866-step_02,read_file,list_directory,list_directory,0.3568880479608357,list_directory,list_directory,list_directory
sess_sim_20260522_008434-step_02,edit_file,edit_file,edit_file,0.4917149992692535,edit_file,edit_file,edit_file
