id,fold,y_true,meta_pred,meta_conf,blend_pred
sess_sim_20260522_010306-step_10,3,apply_patch,apply_patch,0.47847039888583753,apply_patch
sess_sim_20260522_033776-step_09,3,respond_only,respond_only,0.9813419583923745,respond_only
sess_sim_20260522_029054-step_01,3,grep_search,list_directory,0.448813148885331,list_directory
sess_sim_20260522_045827-step_04,3,apply_patch,edit_file,0.34077760697601633,apply_patch
sess_sim_20260522_019879-step_02,3,edit_file,write_file,0.5772308854031516,edit_file
sess_au_815508_003-step_05,3,lint_or_typecheck,run_tests,0.17239205714761907,lint_or_typecheck
sess_sim_20260522_014581-step_06,3,run_tests,run_tests,0.21220098298613527,run_tests
sess_sim_20260522_043264-step_08,3,run_tests,web_search,0.3627221928799114,lint_or_typecheck
sess_sim_20260522_000194-step_09,3,lint_or_typecheck,lint_or_typecheck,0.45787285635231717,lint_or_typecheck
sess_sim_20260522_024976-step_14,3,apply_patch,apply_patch,0.4439896900773341,apply_patch
sess_sim_20260522_001725-step_08,3,read_file,web_search,0.27858435473196713,grep_search
sess_au_309906_000-step_02,3,read_file,list_directory,0.4753014176962852,read_file
sess_sim_20260522_037513-step_01,3,list_directory,list_directory,0.479548120121508,list_directory
sess_sim_20260522_017381-step_09,3,edit_file,apply_patch,0.6174733788177027,apply_patch
sess_sim_20260522_035574-step_04,3,glob_pattern,glob_pattern,0.2395836336913293,glob_pattern
sess_sim_20260522_029624-step_04,3,grep_search,glob_pattern,0.24587333580878057,read_file
sess_sim_20260522_030052-step_05,3,grep_search,run_bash,0.16999613238732486,grep_search
sess_sim_20260522_012741-step_04,3,respond_only,respond_only,0.9981339722749368,respond_only
sess_sim_20260522_036309-step_01,3,lint_or_typecheck,run_bash,0.25397990199958137,run_bash
sess_sim_20260522_005528-step_06,3,ask_user,ask_user,0.136231651744838,web_search
sess_sim_20260522_030486-step_07,3,run_tests,web_search,0.39298151753484,run_tests
sess_sim_20260522_036063-step_06,3,run_tests,lint_or_typecheck,0.25995913065035253,run_tests
sess_au_752327_008-step_03,3,web_search,web_search,0.26741444044456686,web_search
sess_sim_20260522_030800-step_04,3,run_tests,run_bash,0.2358406109967169,run_tests
sess_sim_20260522_005903-step_11,3,apply_patch,apply_patch,0.3573536048351827,apply_patch
sess_sim_20260522_010866-step_06,3,edit_file,apply_patch,0.32999735285445975,edit_file
sess_sim_20260522_007981-step_03,3,ask_user,ask_user,0.1608582360565842,ask_user
sess_sim_20260522_032169-step_02,3,list_directory,list_directory,0.27273406180936804,read_file
sess_sim_20260522_026203-step_06,3,edit_file,apply_patch,0.4180271753793097,edit_file
sess_sim_20260522_033669-step_03,3,glob_pattern,glob_pattern,0.36342542929087573,read_file
sess_au_572405_000-step_07,3,respond_only,respond_only,0.9512035021205233,respond_only
sess_sim_20260522_009402-step_07,3,grep_search,glob_pattern,0.2969396411215898,grep_search
sess_sim_20260522_003325-step_02,3,read_file,list_directory,0.5109687031415696,read_file
sess_sim_20260522_014581-step_01,3,grep_search,list_directory,0.5195797259077857,list_directory
sess_sim_20260522_018619-step_03,3,grep_search,read_file,0.44074010394109475,read_file
sess_sim_20260522_007150-step_06,3,edit_file,apply_patch,0.49335780243334404,edit_file
sess_sim_20260522_030945-step_01,3,run_bash,run_bash,0.3431393294330424,run_bash
sess_sim_20260522_039615-step_05,3,run_tests,ask_user,0.27181254326252424,run_tests
sess_sim_20260522_025367-step_03,3,edit_file,edit_file,0.5167965512176211,edit_file
sess_sim_20260522_031082-step_01,3,write_file,write_file,0.9002227624833898,write_file
sess_sim_20260522_042143-step_02,3,read_file,list_directory,0.4002401507619751,list_directory
sess_sim_20260522_019879-step_03,3,grep_search,run_bash,0.15859758130653479,grep_search
sess_sim_20260522_031031-step_12,3,glob_pattern,web_search,0.2815330803958739,grep_search
sess_sim_20260522_014299-step_03,3,run_tests,run_bash,0.2576544546746672,run_tests
sess_sim_20260522_041908-step_03,3,respond_only,respond_only,0.8353870006450551,respond_only
sess_sim_20260522_025367-step_04,3,run_tests,run_bash,0.21335190983220806,run_tests
sess_sim_20260522_028193-step_05,3,run_tests,ask_user,0.3065402472991203,run_tests
sess_sim_20260522_017957-step_03,3,glob_pattern,list_directory,0.388941946897896,read_file
sess_sim_20260522_028134-step_02,3,write_file,respond_only,0.8274853177322404,write_file
sess_sim_20260522_041535-step_02,3,list_directory,list_directory,0.25100336830108594,list_directory
sess_au_116934_004-step_04,3,grep_search,glob_pattern,0.2597274508687377,grep_search
sess_sim_20260522_023031-step_03,3,glob_pattern,read_file,0.2701826874584043,read_file
sess_sim_20260522_036017-step_03,3,list_directory,list_directory,0.336974825961416,list_directory
sess_sim_20260522_018172-step_09,3,apply_patch,edit_file,0.5358988812213148,apply_patch
sess_sim_20260522_010395-step_06,3,read_file,read_file,0.3690006853327441,read_file
sess_sim_20260522_033776-step_06,3,grep_search,glob_pattern,0.30590957536571645,glob_pattern
sess_sim_20260522_031031-step_03,3,grep_search,ask_user,0.21499628342184157,read_file
sess_sim_20260522_047015-step_03,3,apply_patch,edit_file,0.48504403298249543,apply_patch
sess_sim_20260522_018591-step_05,3,read_file,glob_pattern,0.41610635121160705,glob_pattern
sess_sim_20260522_016108-step_03,3,grep_search,list_directory,0.298893301438782,read_file
sess_sim_20260522_013839-step_01,3,list_directory,list_directory,0.4146989480786352,list_directory
sess_sim_20260522_023262-step_07,3,apply_patch,apply_patch,0.567190191596882,apply_patch
sess_sim_20260522_033154-step_01,3,run_tests,plan_task,0.2552744354241429,run_bash
sess_sim_20260522_043659-step_06,3,run_tests,web_search,0.2865291561843837,lint_or_typecheck
sess_sim_20260522_047015-step_05,3,ask_user,grep_search,0.2715926620140885,ask_user
sess_sim_20260522_015125-step_14,3,apply_patch,apply_patch,0.4849727869305851,apply_patch
sess_sim_20260522_030117-step_01,3,glob_pattern,list_directory,0.4041598580909354,list_directory
sess_sim_20260522_002882-step_09,3,respond_only,respond_only,0.9996070513532529,respond_only
sess_sim_20260522_011767-step_01,3,run_bash,run_bash,0.35255408650029335,run_bash
sess_sim_20260522_009402-step_02,3,plan_task,plan_task,0.27628017659456144,plan_task
sess_sim_20260522_010306-step_04,3,write_file,respond_only,0.4474710988010863,write_file
sess_au_289438_009-step_01,3,read_file,list_directory,0.26800038098252765,list_directory
sess_sim_20260522_018591-step_01,3,grep_search,list_directory,0.48250041452150594,list_directory
sess_sim_20260522_021326-step_04,3,list_directory,list_directory,0.3229943435101867,list_directory
sess_sim_20260522_038030-step_11,3,web_search,web_search,0.31323085776122717,web_search
sess_sim_20260522_038684-step_05,3,grep_search,grep_search,0.30860980970619567,read_file
sess_sim_20260522_005599-step_01,3,write_file,write_file,0.9287048915401848,write_file
sess_sim_20260522_043426-step_05,3,respond_only,respond_only,0.887632463547193,respond_only
sess_sim_20260522_036845-step_03,3,edit_file,write_file,0.46394396376465963,edit_file
sess_sim_20260522_025894-step_03,3,run_bash,run_bash,0.2655256098173422,run_bash
sess_au_812986_006-step_05,3,plan_task,read_file,0.22042665536996522,ask_user
sess_sim_20260522_037504-step_02,3,plan_task,plan_task,0.21356997340508202,plan_task
sess_sim_20260522_039615-step_09,3,run_bash,lint_or_typecheck,0.28770101558036426,run_tests
sess_sim_20260522_036309-step_07,3,grep_search,read_file,0.3273301207789877,grep_search
sess_sim_20260522_036017-step_11,3,read_file,web_search,0.2188184429452102,read_file
sess_au_071541_004-step_06,3,edit_file,apply_patch,0.5171224100060132,apply_patch
sess_sim_20260522_001971-step_07,3,grep_search,run_tests,0.16030853834390238,grep_search
sess_sim_20260522_030052-step_03,3,read_file,read_file,0.3089774681054725,read_file
