id,fold,y_true,meta_pred,meta_conf,blend_pred
sess_au_050092_004-step_04,1,edit_file,edit_file,0.31999248406689174,edit_file
sess_sim_20260522_031432-step_09,1,edit_file,apply_patch,0.25357395259352034,edit_file
sess_sim_20260522_005269-step_02,1,list_directory,list_directory,0.4082071560928735,list_directory
sess_sim_20260522_004126-step_05,1,edit_file,edit_file,0.3974266784496643,edit_file
sess_sim_20260522_008342-step_02,1,grep_search,list_directory,0.3363139435164811,read_file
sess_sim_20260522_026445-step_08,1,glob_pattern,glob_pattern,0.3493001371377553,glob_pattern
sess_sim_20260522_013112-step_03,1,edit_file,edit_file,0.6506396995935777,edit_file
sess_sim_20260522_002257-step_04,1,apply_patch,edit_file,0.47335068725183654,apply_patch
sess_au_577567_009-step_01,1,grep_search,list_directory,0.42670401404573344,list_directory
sess_sim_20260522_022987-step_02,1,respond_only,respond_only,0.7250040556594552,respond_only
sess_sim_20260522_010842-step_07,1,run_tests,grep_search,0.445765911378081,lint_or_typecheck
sess_sim_20260522_023897-step_03,1,grep_search,list_directory,0.33287089616052806,read_file
sess_sim_20260522_008362-step_12,1,run_tests,run_tests,0.27601139532963664,lint_or_typecheck
sess_sim_20260522_016544-step_13,1,glob_pattern,glob_pattern,0.4987091470202169,glob_pattern
sess_sim_20260522_008434-step_02,1,edit_file,edit_file,0.6944093207352299,edit_file
sess_sim_20260522_012429-step_03,1,ask_user,web_search,0.20567268709036549,ask_user
sess_sim_20260522_005418-step_04,1,run_tests,ask_user,0.33850499387118776,run_tests
sess_sim_20260522_046827-step_01,1,edit_file,edit_file,0.48036572677779293,edit_file
sess_sim_20260522_033339-step_08,1,ask_user,glob_pattern,0.29005279060261197,plan_task
sess_sim_20260522_012999-step_02,1,edit_file,write_file,0.6435006544057851,edit_file
sess_sim_20260522_011620-step_06,1,ask_user,lint_or_typecheck,0.38588593244774233,plan_task
sess_sim_20260522_026925-step_06,1,glob_pattern,glob_pattern,0.27241818682649355,grep_search
sess_sim_20260522_042674-step_01,1,list_directory,list_directory,0.48460715046456154,list_directory
sess_sim_20260522_043907-step_05,1,read_file,glob_pattern,0.3083200265066363,grep_search
sess_sim_20260522_025738-step_03,1,run_bash,edit_file,0.20818604727206133,run_bash
sess_sim_20260522_021557-step_06,1,edit_file,edit_file,0.6318918990431561,edit_file
sess_sim_20260522_043683-step_07,1,run_bash,lint_or_typecheck,0.3671383176620441,lint_or_typecheck
sess_sim_20260522_038980-step_01,1,plan_task,plan_task,0.38019925535635263,plan_task
sess_sim_20260522_016544-step_12,1,read_file,grep_search,0.3633882867879426,read_file
sess_sim_20260522_008342-step_04,1,edit_file,edit_file,0.2679313278289295,edit_file
sess_sim_20260522_022762-step_06,1,respond_only,respond_only,0.8667562970870741,respond_only
sess_sim_20260522_016544-step_07,1,run_bash,run_bash,0.4537071163266884,run_bash
sess_sim_20260522_039044-step_04,1,edit_file,write_file,0.5250057483104286,edit_file
sess_sim_20260522_011620-step_10,1,edit_file,edit_file,0.6075020207034201,edit_file
sess_sim_20260522_020361-step_08,1,edit_file,apply_patch,0.5564980347089757,edit_file
sess_sim_20260522_010187-step_02,1,plan_task,edit_file,0.34280229778518445,plan_task
sess_sim_20260522_039151-step_03,1,ask_user,ask_user,0.2528060427951277,ask_user
sess_sim_20260522_013293-step_01,1,grep_search,list_directory,0.48571225062296886,list_directory
sess_sim_20260522_028103-step_01,1,respond_only,write_file,0.9475931126605232,respond_only
sess_sim_20260522_028592-step_01,1,list_directory,list_directory,0.4941666501403305,list_directory
