base,bias,class,support,baseline_f1,biased_f1,delta_f1,baseline_pred_count,biased_pred_count,delta_pred_count
stacker_final,mate_0.5x,apply_patch,666,0.8630527817403709,0.8638631503920171,0.0008103686516461872,736,737,1
stacker_final,mate_0.5x,ask_user,393,0.5805555555555556,0.579750346740638,-0.0008052088149176351,327,328,1
stacker_final,mate_0.5x,edit_file,1580,0.9229274611398963,0.9229274611398963,0.0,1508,1508,0
stacker_final,mate_0.5x,glob_pattern,783,0.6186953597848016,0.6199460916442049,0.0012507318594032757,704,701,-3
stacker_final,mate_0.5x,grep_search,1473,0.5771710276829731,0.5720984759671747,-0.005072551715798457,1164,1086,-78
stacker_final,mate_0.5x,lint_or_typecheck,320,0.5795454545454546,0.5795454545454546,0.0,384,384,0
stacker_final,mate_0.5x,list_directory,651,0.48881239242685026,0.48817966903073284,-0.0006327233961174183,1092,1041,-51
stacker_final,mate_0.5x,plan_task,370,0.6216216216216216,0.6207827260458839,-0.0008388955757376859,370,371,1
stacker_final,mate_0.5x,read_file,1284,0.5074868474301902,0.5255867641400539,0.01809991670986366,1187,1315,128
stacker_final,mate_0.5x,respond_only,734,0.9986357435197817,0.9986357435197817,0.0,732,732,0
stacker_final,mate_0.5x,run_bash,689,0.7759882869692533,0.7759882869692533,0.0,677,677,0
stacker_final,mate_0.5x,run_tests,653,0.744945567651633,0.744945567651633,0.0,633,633,0
stacker_final,mate_0.5x,web_search,174,0.6197183098591549,0.6182669789227166,-0.0014513309364382332,252,253,1
stacker_final,mate_0.5x,write_file,199,0.9800995024875622,0.9800995024875622,0.0,203,203,0
stacker_final,mate_1.0x,apply_patch,666,0.8630527817403709,0.8632478632478633,0.0001950815074923673,736,738,2
stacker_final,mate_1.0x,ask_user,393,0.5805555555555556,0.5805555555555556,0.0,327,327,0
stacker_final,mate_1.0x,edit_file,1580,0.9229274611398963,0.9235751295336787,0.0006476683937823857,1508,1508,0
stacker_final,mate_1.0x,glob_pattern,783,0.6186953597848016,0.6193373901284652,0.0006420303436636132,704,696,-8
stacker_final,mate_1.0x,grep_search,1473,0.5771710276829731,0.5599031867688584,-0.017267840914114707,1164,1006,-158
stacker_final,mate_1.0x,lint_or_typecheck,320,0.5795454545454546,0.5795454545454546,0.0,384,384,0
stacker_final,mate_1.0x,list_directory,651,0.48881239242685026,0.48792270531400966,-0.0008896871128405981,1092,1005,-87
stacker_final,mate_1.0x,plan_task,370,0.6216216216216216,0.6199460916442049,-0.001675529977416712,370,372,2
stacker_final,mate_1.0x,read_file,1284,0.5074868474301902,0.5294117647058824,0.021924917275692124,1187,1436,249
stacker_final,mate_1.0x,respond_only,734,0.9986357435197817,0.9986357435197817,0.0,732,732,0
stacker_final,mate_1.0x,run_bash,689,0.7759882869692533,0.7774524158125915,0.0014641288433382416,677,677,0
stacker_final,mate_1.0x,run_tests,653,0.744945567651633,0.7455252918287938,0.0005797241771607897,633,632,-1
stacker_final,mate_1.0x,web_search,174,0.6197183098591549,0.6182669789227166,-0.0014513309364382332,252,253,1
stacker_final,mate_1.0x,write_file,199,0.9800995024875622,0.9800995024875622,0.0,203,203,0
stacker_final,mate_1.5x,apply_patch,666,0.8630527817403709,0.8626334519572953,-0.00041932978307557267,736,739,3
stacker_final,mate_1.5x,ask_user,393,0.5805555555555556,0.5805555555555556,0.0,327,327,0
stacker_final,mate_1.5x,edit_file,1580,0.9229274611398963,0.9235751295336787,0.0006476683937823857,1508,1508,0
stacker_final,mate_1.5x,glob_pattern,783,0.6186953597848016,0.621160409556314,0.0024650497715124065,704,682,-22
stacker_final,mate_1.5x,grep_search,1473,0.5771710276829731,0.5475792988313857,-0.02959172885158745,1164,923,-241
stacker_final,mate_1.5x,lint_or_typecheck,320,0.5795454545454546,0.5787234042553191,-0.0008220502901354898,384,385,1
stacker_final,mate_1.5x,list_directory,651,0.48881239242685026,0.4839108910891089,-0.004901501337741365,1092,965,-127
stacker_final,mate_1.5x,plan_task,370,0.6216216216216216,0.6199460916442049,-0.001675529977416712,370,372,2
stacker_final,mate_1.5x,read_file,1284,0.5074868474301902,0.5360896986685354,0.02860285123834516,1187,1570,383
stacker_final,mate_1.5x,respond_only,734,0.9986357435197817,0.9986357435197817,0.0,732,732,0
stacker_final,mate_1.5x,run_bash,689,0.7759882869692533,0.7765567765567766,0.0005684895875233131,677,676,-1
stacker_final,mate_1.5x,run_tests,653,0.744945567651633,0.7455252918287938,0.0005797241771607897,633,632,-1
stacker_final,mate_1.5x,web_search,174,0.6197183098591549,0.6153846153846154,-0.004333694474539462,252,255,3
stacker_final,mate_1.5x,write_file,199,0.9800995024875622,0.9800995024875622,0.0,203,203,0
stacker_final,read_only_0.5x,apply_patch,666,0.8630527817403709,0.8630527817403709,0.0,736,736,0
