last2_action,last_action,n_rows,n_sessions,top_action,purity,last1_only_purity,lift
grep_search,glob_pattern,1093,1007,glob_pattern,0.5196706312900274,0.22186430440910007,0.29780632688092734
read_file,glob_pattern,522,497,grep_search,0.5191570881226054,0.22186430440910007,0.2972927837135053
grep_search,ask_user,223,222,glob_pattern,0.47085201793721976,0.20027372262773724,0.2705782953094825
read_file,list_directory,120,118,grep_search,0.5166666666666667,0.2507695950745915,0.2658970715920752
grep_search,list_directory,178,176,glob_pattern,0.5056179775280899,0.2507695950745915,0.2548483824534984
grep_search,plan_task,192,191,glob_pattern,0.4322916666666667,0.1803405572755418,0.25195110939112486
list_directory,grep_search,888,878,read_file,0.4594594594594595,0.2194007649808755,0.240058694478584
read_file,ask_user,300,298,grep_search,0.44,0.20027372262773724,0.23972627737226276
edit_file,glob_pattern,521,504,grep_search,0.4510556621880998,0.22186430440910007,0.2291913577789997
edit_file,plan_task,127,124,grep_search,0.3937007874015748,0.1803405572755418,0.21336023012603303
grep_search,grep_search,1627,1507,glob_pattern,0.4265519360786724,0.2194007649808755,0.20715117109779693
read_file,plan_task,212,209,grep_search,0.3867924528301887,0.1803405572755418,0.2064518955546469
run_bash,grep_search,538,520,read_file,0.42379182156133827,0.2194007649808755,0.20439105658046278
apply_patch,grep_search,402,393,grep_search,0.4079601990049751,0.2194007649808755,0.1885594340240996
run_tests,grep_search,502,471,read_file,0.4063745019920319,0.2194007649808755,0.1869737370111564
edit_file,grep_search,955,926,grep_search,0.4031413612565445,0.2194007649808755,0.183740596275669
write_file,grep_search,57,57,grep_search,0.3684210526315789,0.2194007649808755,0.14902028765070344
write_file,run_tests,46,46,edit_file,0.391304347826087,0.24464831804281345,0.14665602978327352
read_file,grep_search,1261,1225,grep_search,0.36241078509119745,0.2194007649808755,0.14301002011032196
run_bash,plan_task,56,56,read_file,0.32142857142857145,0.1803405572755418,0.14108801415302966
edit_file,ask_user,245,241,grep_search,0.33877551020408164,0.20027372262773724,0.1385017875763444
plan_task,edit_file,41,41,edit_file,0.36585365853658536,0.23013182674199623,0.13572183179458913
write_file,ask_user,30,30,edit_file,0.3333333333333333,0.20027372262773724,0.13305961070559608
plan_task,apply_patch,440,427,run_tests,0.30227272727272725,0.1713832918270319,0.13088943544569534
apply_patch,lint_or_typecheck,669,571,apply_patch,0.3796711509715994,0.2490079365079365,0.1306632144636629
write_file,run_bash,413,413,edit_file,0.3341404358353511,0.2038774233896185,0.13026301244573257
read_file,lint_or_typecheck,80,78,edit_file,0.375,0.2490079365079365,0.1259920634920635
run_tests,plan_task,46,44,read_file,0.30434782608695654,0.1803405572755418,0.12400726881141474
run_tests,glob_pattern,114,111,read_file,0.34210526315789475,0.22186430440910007,0.12024095874879467
lint_or_typecheck,apply_patch,452,400,lint_or_typecheck,0.28982300884955753,0.1713832918270319,0.11843971702252562
run_bash,web_search,39,39,edit_file,0.3076923076923077,0.19023569023569023,0.11745661745661748
list_directory,glob_pattern,430,423,read_file,0.3372093023255814,0.22186430440910007,0.11534499791648131
apply_patch,read_file,206,203,apply_patch,0.4029126213592233,0.2899741195003938,0.11293850185882948
grep_search,web_search,234,225,glob_pattern,0.29914529914529914,0.19023569023569023,0.10890960890960891
lint_or_typecheck,read_file,128,127,edit_file,0.3984375,0.2899741195003938,0.10846338049960619
apply_patch,glob_pattern,143,141,grep_search,0.32867132867132864,0.22186430440910007,0.10680702426222857
lint_or_typecheck,glob_pattern,34,34,read_file,0.3235294117647059,0.22186430440910007,0.10166510735560583
glob_pattern,write_file,109,109,edit_file,0.5045871559633027,0.40387275242047027,0.10071440354283245
write_file,edit_file,581,581,edit_file,0.3304647160068847,0.23013182674199623,0.10033288926488848
run_tests,ask_user,70,70,read_file,0.3,0.20027372262773724,0.09972627737226275
run_tests,list_directory,103,103,read_file,0.34951456310679613,0.2507695950745915,0.09874496803220462
none,grep_search,1026,1026,read_file,0.3157894736842105,0.2194007649808755,0.09638870870333502
grep_search,lint_or_typecheck,67,67,edit_file,0.34328358208955223,0.2490079365079365,0.09427564558161572
run_tests,edit_file,973,903,run_tests,0.3237410071942446,0.23013182674199623,0.09360918045224836
lint_or_typecheck,ask_user,41,41,read_file,0.2926829268292683,0.20027372262773724,0.09240920420153104
list_directory,plan_task,132,130,read_file,0.2727272727272727,0.1803405572755418,0.09238671545173091
apply_patch,plan_task,67,65,grep_search,0.26865671641791045,0.1803405572755418,0.08831615914236865
none,lint_or_typecheck,63,63,edit_file,0.3333333333333333,0.2490079365079365,0.0843253968253968
write_file,list_directory,39,39,read_file,0.3333333333333333,0.2507695950745915,0.0825637382587418
web_search,write_file,33,33,edit_file,0.48484848484848486,0.40387275242047027,0.08097573242801459
web_search,read_file,127,127,edit_file,0.3700787401574803,0.2899741195003938,0.08010462065708651
ask_user,ask_user,43,43,plan_task,0.27906976744186046,0.20027372262773724,0.07879604481412322
run_bash,glob_pattern,223,218,read_file,0.3004484304932735,0.22186430440910007,0.07858412608417345
none,plan_task,1121,1121,list_directory,0.2586975914362177,0.1803405572755418,0.07835703416067588
apply_patch,web_search,41,41,grep_search,0.2682926829268293,0.19023569023569023,0.07805699269113905
read_file,web_search,247,242,grep_search,0.26720647773279355,0.19023569023569023,0.07697078749710332
read_file,run_bash,503,476,grep_search,0.27634194831013914,0.2038774233896185,0.07246452492052063
glob_pattern,run_tests,60,60,respond_only,0.31666666666666665,0.24464831804281345,0.0720183486238532
apply_patch,ask_user,92,92,grep_search,0.2717391304347826,0.20027372262773724,0.07146540780704536
web_search,glob_pattern,99,98,grep_search,0.29292929292929293,0.22186430440910007,0.07106498852019286
run_bash,edit_file,858,836,run_tests,0.29953379953379955,0.23013182674199623,0.06940197279180332
edit_file,apply_patch,1014,973,lint_or_typecheck,0.2406311637080868,0.1713832918270319,0.06924787188105488
none,read_file,1466,1466,edit_file,0.3587994542974079,0.2899741195003938,0.06882533479701408
none,run_bash,1004,1004,run_bash,0.27091633466135456,0.2038774233896185,0.06703891127173606
list_directory,ask_user,173,172,read_file,0.2658959537572254,0.20027372262773724,0.06562223112948817
read_file,apply_patch,692,660,run_tests,0.23554913294797689,0.1713832918270319,0.06416584112094498
grep_search,run_bash,341,335,glob_pattern,0.2668621700879765,0.2038774233896185,0.06298474669835802
read_file,read_file,1196,1147,grep_search,0.3511705685618729,0.2899741195003938,0.061196449061479086
write_file,read_file,100,100,grep_search,0.35,0.2899741195003938,0.060025880499606166
none,edit_file,228,228,edit_file,0.2894736842105263,0.23013182674199623,0.0593418574685301
lint_or_typecheck,run_bash,76,76,respond_only,0.2631578947368421,0.2038774233896185,0.059280471347223584
edit_file,web_search,117,114,grep_search,0.24786324786324787,0.19023569023569023,0.05762755762755764
ask_user,run_bash,96,95,run_bash,0.2604166666666667,0.2038774233896185,0.05653924327704818
plan_task,run_bash,73,73,run_bash,0.2602739726027397,0.2038774233896185,0.056396549213121205
lint_or_typecheck,grep_search,142,142,edit_file,0.2746478873239437,0.2194007649808755,0.055247122343068195
apply_patch,apply_patch,618,463,apply_patch,0.22491909385113268,0.1713832918270319,0.05353580202410077
list_directory,read_file,1020,1010,read_file,0.3431372549019608,0.2899741195003938,0.053163135401566974
write_file,plan_task,43,43,apply_patch,0.23255813953488372,0.1803405572755418,0.05221758225934192
list_directory,apply_patch,50,49,respond_only,0.22,0.1713832918270319,0.04861670817296809
glob_pattern,plan_task,83,81,read_file,0.2289156626506024,0.1803405572755418,0.0485751053750606
plan_task,plan_task,175,165,list_directory,0.22857142857142856,0.1803405572755418,0.04823087129588677
none,run_tests,123,123,read_file,0.2926829268292683,0.24464831804281345,0.048034608786454824
edit_file,list_directory,154,153,grep_search,0.2987012987012987,0.2507695950745915,0.04793170362670718
ask_user,plan_task,272,266,read_file,0.22794117647058823,0.1803405572755418,0.047600619195046434
web_search,web_search,101,88,grep_search,0.2376237623762376,0.19023569023569023,0.04738807214054738
edit_file,edit_file,1586,1530,apply_patch,0.27742749054224464,0.23013182674199623,0.04729566380024841
lint_or_typecheck,lint_or_typecheck,152,135,edit_file,0.29605263157894735,0.2490079365079365,0.047044695071010834
list_directory,run_tests,31,31,edit_file,0.2903225806451613,0.24464831804281345,0.04567426260234786
list_directory,edit_file,359,350,run_tests,0.2757660167130919,0.23013182674199623,0.045634189971095696
plan_task,read_file,435,431,edit_file,0.3333333333333333,0.2899741195003938,0.0433592138329395
run_tests,read_file,285,282,edit_file,0.3298245614035088,0.2899741195003938,0.039850441903114986
grep_search,run_tests,169,164,edit_file,0.28402366863905326,0.24464831804281345,0.03937535059623981
glob_pattern,run_bash,165,161,run_bash,0.24242424242424243,0.2038774233896185,0.038546819034623925
web_search,apply_patch,43,43,respond_only,0.20930232558139536,0.1713832918270319,0.03791903375436345
glob_pattern,ask_user,114,114,grep_search,0.23684210526315788,0.20027372262773724,0.03656838263542064
web_search,ask_user,51,51,edit_file,0.23529411764705882,0.20027372262773724,0.03502039501932158
run_tests,apply_patch,343,328,respond_only,0.20408163265306123,0.1713832918270319,0.03269834082602932
none,glob_pattern,566,566,list_directory,0.254416961130742,0.22186430440910007,0.032552656721641954
glob_pattern,apply_patch,123,123,respond_only,0.2032520325203252,0.1713832918270319,0.03186874069329329
none,ask_user,591,591,list_directory,0.23011844331641285,0.20027372262773724,0.029844720688675608
run_bash,ask_user,161,161,read_file,0.22981366459627328,0.20027372262773724,0.029539941968536043
none,list_directory,1792,1792,read_file,0.2779017857142857,0.2507695950745915,0.027132190639694187
run_tests,run_bash,140,139,edit_file,0.22857142857142856,0.2038774233896185,0.024694005181810058
lint_or_typecheck,run_tests,93,90,respond_only,0.26881720430107525,0.24464831804281345,0.0241688862582618
plan_task,ask_user,58,58,plan_task,0.22413793103448276,0.20027372262773724,0.023864208406745524
run_bash,read_file,518,499,edit_file,0.3108108108108108,0.2899741195003938,0.020836691310416988
run_bash,run_bash,946,719,run_bash,0.22410147991543342,0.2038774233896185,0.02022405652581491
web_search,plan_task,45,45,grep_search,0.2,0.1803405572755418,0.019659442724458215
run_tests,run_tests,455,385,edit_file,0.26153846153846155,0.24464831804281345,0.016890143495648102
edit_file,run_tests,2293,1944,edit_file,0.2594853903183602,0.24464831804281345,0.014837072275546759
list_directory,write_file,366,366,edit_file,0.4180327868852459,0.40387275242047027,0.01416003446477565
run_bash,lint_or_typecheck,122,122,edit_file,0.26229508196721313,0.2490079365079365,0.013287145459276617
grep_search,apply_patch,482,465,glob_pattern,0.18464730290456433,0.1713832918270319,0.013264011077532417
ask_user,glob_pattern,192,192,read_file,0.234375,0.22186430440910007,0.012510695590899928
apply_patch,run_bash,252,242,grep_search,0.21428571428571427,0.2038774233896185,0.010408290896095768
grep_search,read_file,1742,1603,edit_file,0.3002296211251435,0.2899741195003938,0.010255501624749697
plan_task,grep_search,401,390,edit_file,0.22942643391521197,0.2194007649808755,0.010025668934336485
plan_task,list_directory,418,413,read_file,0.2607655502392344,0.2507695950745915,0.009995955164642911
read_file,edit_file,2419,2262,run_tests,0.23935510541546093,0.23013182674199623,0.009223278673464702
glob_pattern,list_directory,329,327,read_file,0.25835866261398177,0.2507695950745915,0.00758906753939026
ask_user,grep_search,413,405,read_file,0.22518159806295399,0.2194007649808755,0.005780833082078496
web_search,list_directory,39,39,read_file,0.2564102564102564,0.2507695950745915,0.005640661335664876
