last_action,read_file,grep_search,list_directory,glob_pattern,edit_file,write_file,apply_patch,run_bash,run_tests,lint_or_typecheck,ask_user,plan_task,web_search,respond_only
none,0.16533333333333333,0.11622222222222223,0.202,0.063,0.025333333333333333,0.07866666666666666,0.0006666666666666666,0.11233333333333333,0.013333333333333334,0.008,0.06988888888888889,0.12455555555555556,0.01211111111111111,0.008555555555555556
read_file,0.13952965005063575,0.14976932598177112,0.014628108473050523,0.06323843816811073,0.2899741195003938,0.004050860807921683,0.08664341172499156,0.06042534038483178,0.02070439968493305,0.01057724766512884,0.04163384719252841,0.025430403960841678,0.03060650388207494,0.06278834252278609
grep_search,0.19326391840203994,0.18338291542711432,0.01965575860603485,0.12547811304717382,0.2194007649808755,0.0013812154696132596,0.0555673608159796,0.039524011899702505,0.020186995325116874,0.007543561410964726,0.029536761580960476,0.021780705482362942,0.026880577985550363,0.056417339566510835
list_directory,0.2507695950745915,0.21477622543215724,0.08430026047833294,0.10513852711342647,0.08761543926118873,0.08714184229220932,0.01302391664693346,0.03149419843713,0.008051148472649775,0.004262372720814586,0.04688609992896046,0.0322045938905991,0.005919962112242482,0.028415818138763912
glob_pattern,0.15522448157841756,0.22186430440910007,0.0690557680692571,0.17555868733642038,0.1294543990336219,0.02174350714717133,0.026575397624320516,0.03382323334004429,0.01268371250251661,0.006039863096436481,0.030199315482182403,0.019528890678477955,0.016911616670022146,0.08133682303201127
edit_file,0.060922787193973635,0.09378531073446328,0.0160075329566855,0.05263653483992467,0.15423728813559323,0.0007532956685499058,0.10131826741996233,0.06958568738229755,0.23013182674199623,0.06845574387947269,0.03220338983050847,0.012523540489642184,0.011581920903954802,0.09585687382297552
write_file,0.07261410788381743,0.03803596127247579,0.027662517289073305,0.017980636237897647,0.40387275242047027,0.0006915629322268327,0.004149377593360996,0.2869986168741355,0.0338865836791148,0.020055325034578148,0.02351313969571231,0.030428769017980636,0.003457814661134163,0.03665283540802213
apply_patch,0.05456191985510527,0.10029431741000679,0.01992302467738284,0.036676477247000225,0.030563731039166854,0.00022639800769753225,0.15598822730359974,0.06271224813221643,0.14829069504188364,0.1713832918270319,0.030563731039166854,0.016527054561919854,0.010867104369481548,0.1614217794883405
run_bash,0.11465499270377319,0.11402960183447988,0.07066916823014384,0.04898895142797582,0.18303106107984157,0.0225140712945591,0.023139462163852407,0.2038774233896185,0.04065040650406504,0.028142589118198873,0.03960808838857619,0.013341671878257244,0.009380863039399626,0.0879716489472587
run_tests,0.07057163020465773,0.12867560573982592,0.024935309338979063,0.030345800988002825,0.24464831804281345,0.004704775346977182,0.09080216419665961,0.03458009880028229,0.10962126558456833,0.03458009880028229,0.025170548106327923,0.011526699600094096,0.0077628793225123505,0.18207480592801695
lint_or_typecheck,0.06746031746031746,0.08531746031746032,0.022817460317460316,0.01984126984126984,0.21626984126984128,0.008432539682539682,0.2490079365079365,0.0441468253968254,0.053075396825396824,0.08779761904761904,0.031746031746031744,0.00992063492063492,0.008432539682539682,0.09573412698412699
ask_user,0.15282846715328466,0.20027372262773724,0.10903284671532847,0.0885036496350365,0.14096715328467152,0.023722627737226276,0.024635036496350366,0.04470802919708029,0.015054744525547446,0.005930656934306569,0.02144160583941606,0.13001824817518248,0.010948905109489052,0.03193430656934307
plan_task,0.16873065015479877,0.16060371517027863,0.1660216718266254,0.07856037151702787,0.016253869969040248,0.0030959752321981426,0.1803405572755418,0.030959752321981424,0.005804953560371517,0.0030959752321981426,0.029411764705882353,0.0684984520123839,0.04992260061919505,0.03869969040247678
web_search,0.10942760942760943,0.15656565656565657,0.03367003367003367,0.09259259259259259,0.19023569023569023,0.027777777777777776,0.03956228956228956,0.020202020202020204,0.005050505050505051,0.004208754208754209,0.06818181818181818,0.041245791245791245,0.08922558922558922,0.12205387205387205
